dataset,polity,avgtime,t_infomedia,t_techmilitary,t_warfare,t_communication,t_economy,t_infrastructure,t_politics,t_religion_moral,t_agriculturetech,t_alphabeth,SCALE,GOV,HIER
chronos,HaHwicl,1455,0.10,0.10,0.10,0.00,0.00,0.30,0.00,0.25,0.40,0.00,0.2387660556,0.078826,0.039052
chronos,UsWoocm,10,0.05,0.13,0.10,0.00,0.10,0.05,0.05,0.15,0.20,0.00,0.1326470323,0,0.039052
chronos,UsMisc*,947,0.10,0.20,0.20,0.10,0.15,0.20,0.00,0.26,0.30,0.00,0.33476536,0.159073,0.08576236
chronos,UsWoocl,660,0.10,0.20,0.20,0.00,0.05,0.05,0.05,0.20,0.20,0.00,0.1649021333,0,0.039052
chronos,UsWooce,-391,0.00,0.09,0.10,0.00,0.00,0.05,0.05,0.14,0.20,0.00,0.123522425,0,0
chronos,UsHpwc*,335,0.10,0.20,0.10,0.00,0.15,0.10,0.05,0.20,0.20,0.00,0.295176175,0.078826,0.039052
chronos,UsOnec*,1520,0.10,0.22,0.20,0.00,0.06,0.05,0.05,0.20,0.30,0.00,0.42758328,0,0.039052
chronos,UsCahkl,1266,0.15,0.20,0.20,0.10,0.15,0.25,0.00,0.30,0.30,0.00,0.35604075,0.159073,0.162084
chronos,UzKktn*,-1250,0.00,0.35,0.30,0.00,0.15,0.10,0.00,0.20,0.00,0.00,0.31563,0.080247,0.039052
chronos,UzTmre*,1441,0.40,0.53,0.40,0.30,0.30,0.50,0.00,0.50,0.30,0.30,0.7692809286,0.619632,0.4420502857
seshat-pca,AfGhurd,1200,0,0.766294,0,0.453329,1,0.212489,0.917348,0.775827,0.83702,0.531892,0.756934,0.623206,0.356388
seshat-pca,AfHepht,487,0,0.779847,0.258256,0.44773,1,0.802529,0.658443,0.872844,0.83702,0.420366,0.723584,0,0.200658
seshat-pca,AfKushn,198,0,0.766294,0.258256,0.768404,0.776984,0.802529,0.741095,0.838581,0.83702,0.420366,0.6862,0.623206,0.317813
seshat-pca,CnEHan*,16,0.328061,0.838618,1,1,0.887039,0.571084,1,0.811935,0.655848,0.726789,0.795931,0.921174,0.533364
seshat-pca,CnErJin,295,0,0.838618,0.596766,0.886156,1,0.571084,1,0.878765,0.655848,0.726789,0.749839,0.745073,0.578695
seshat-pca,CnErlig,-1446,0,0.244267,0.258256,0.41235,0.326311,0.186228,0,0.502667,0.449761,0.726789,0.575705,0.246798,0.255004
seshat-pca,CnErlit,-1748,0,0.734535,0.258256,0.209567,0.208281,0.012172,0,0.348512,0.449761,0.726789,0.442326,0.246798,0.262025
seshat-pca,CnJinSA,-629,0.328061,0.708995,0.596766,0.684647,0.887039,0.370766,0.435187,0.7743,0.630932,0.726789,0.645786,0.812042,0.302519
seshat-pca,CnLngsh,-2453,0,0.360337,0.258256,0.427421,0,0.19671,0,0.211414,0.449761,0.726789,0.302058,0,0.138327
seshat-pca,CnLrJin,483,0,0.838618,0.596766,0.802688,1,0.768555,0.792673,0.750693,0.83702,0.726789,0.797929,0.722889,0.401794
seshat-pca,CnMing*,1505,0,0.838618,0.596766,1,1,0.825944,0.792673,0.921601,1,0.726789,0.813949,0.810157,0.4973
seshat-pca,CnNSong,1041,0,0.838618,1,1,1,0.768555,0.792673,0.798415,1,0.726789,0.794064,1,0.635149
seshat-pca,CnNWei*,468,0,1,0.596766,0.766991,0.888912,0.630162,0.875325,0.861923,0.83702,0.726789,0.740625,0.549042,0.425551
seshat-pca,CnQingE,1720,0.663419,0.838618,1,1,1,0.825944,0.792673,0.782334,1,0.726789,0.864042,0.718423,0.628795
seshat-pca,CnQingL,1854,0.335358,0.734535,1,1,1,1,0.792673,0.831519,1,0,0.896843,0.907614,0.652553
seshat-pca,CnShang,-1171,0,0.708995,0.258256,0.530102,0.208281,0.370766,0,0.616433,0.449761,0.726789,0.581858,0.430427,0.290364
seshat-pca,CnSui**,592,0,0.838618,1,0.768115,1,0.571084,0.875325,0.901229,0.83702,0.726789,0.762967,0.824355,0.356388
seshat-pca,CnTangE,762,0,0.838618,1,1,1,0.571084,0.875325,0.917048,0.83702,0.726789,0.800943,1,0.431905
seshat-pca,CnTangL,762,0,0.838618,1,1,1,0.571084,0.875325,0.896797,1,0.726789,0.800635,1,0.542229
seshat-pca,CnWeiWS,-351,0.336581,0.708995,0.596766,0.680739,0.549327,0.409199,0.917348,0.784035,0.655848,0.726789,0.667234,0.733216,0.371682
seshat-pca,CnWHan*,11,0.328061,0.838618,1,0.916532,0.887039,0.768555,1,0.807899,0.655848,0.726789,0.763133,0.921174,0.518472
seshat-pca,CnWZhou,-930,0.335358,0.708995,0.596766,0.669426,0.774903,0.186228,0.258905,0.702581,0.449761,0.726789,0.663297,0.627706,0.39544
seshat-pca,CnYngsh,-3873,0,0.11607,0,0.098688,0,0,0,0.162569,0,0.726789,0.198994,0,0.108215
seshat-pca,CnYuan*,1249,0,0.838618,0.596766,0.886156,1,0.768555,0.792673,0.780882,1,0.726789,0.81267,1,0.371682
seshat-pca,EcJivaL,1830,0,0,0,0.117752,0,0.59004,0,0.289526,0.387259,0.062839,0.159761,0,0.047515
seshat-pca,EcJivaE,1621,0,0,0,0.20122,0,0.358595,0,0.260882,0.21464,0.062839,0.124791,0,0.077626
seshat-pca,EgAyyub,1212,0,0.895917,0.258256,1,1,0.583256,0.917348,0.854283,0.83702,0.823889,0.695138,0.817059,0.419197
seshat-pca,EgBadar,-4178,0,0.11607,0,0.216729,0,0.174056,0.658443,0.088049,0,0.6061,0.068094,0,0
seshat-pca,EgDyn2*,-2781,0.335358,0.708995,0.258256,0.767308,0.665897,0.358595,0.86577,0.470119,0,0.6061,0.517014,0.095253,0.255004
seshat-pca,EgDyn1*,-3013,0.335358,0.708995,0.258256,0.767308,0.665897,0.370766,0.86577,0.397248,0,0.6061,0.487254,0.095253,0.255004
